"samples","Endothelial","Immune (Macrophages)","Acinar","Active Stellate","Quiescent Stellate","Cycling Alpha","Alpha","Gamma + Epsilon","MUC5B+ Ductal","Delta","Beta","Ductal"
"HPAP-087",65,30,3292,2,3,11,1960,27,13,93,0,397
"HPAP-091",0,1,26,40,1,1,245,8,0,11,279,6
"HPAP-092",50,21,966,83,4,8,3,0,75,0,0,1202
"HPAP-095",1,6,129,3,1,7,2073,2,1,1,127,0
"HPAP-096",2,4,279,17,6,1,600,15,6,12,634,89
"HPAP-097",6,2,739,3,2,1,1353,1,1,1,718,39
"HPAP-099",0,0,162,3,1,0,461,4,1,1,403,17
"HPAP-100",15,4,1492,14,1,0,1225,12,55,36,1251,859
"HPAP-101",63,7,126,274,41,0,1664,91,20,298,3358,32
"HPAP-103",1,0,570,0,1,6,807,2,8,51,1181,86
"HPAP-104",11,1,19,11,9,4,856,190,70,246,2215,172
"HPAP-105",38,1,53,8,11,15,1983,13,1,30,2483,9
"HPAP-106",5,7,701,192,7,6,1429,19,6,30,625,137
"HPAP-107",8,6,978,388,12,74,1265,60,59,137,2145,244
"HPAP-108",45,20,1821,110,3,1,158,13,17,30,117,376
"HPAP-109",41,20,3365,38,6,2,593,89,35,23,175,869
"HPAP-110",8,2,154,15,7,16,1217,17,30,100,2254,36
"HPAP-111",26,3,729,22,14,3,2265,34,31,149,2013,23
"HPAP-113",19,20,2364,8,5,13,1312,11,22,113,486,390
"HPAP-114",17,6,243,36,9,2,890,0,10,55,1445,10
"HPAP-117",106,8,517,952,42,4,908,25,13,96,1395,128
"HPAP-118",20,1,467,203,18,2,1087,15,8,144,1849,69
"HPAP-119",36,20,341,107,10,2,1615,7,11,105,2827,44
"HPAP-120",60,5,105,399,6,5,3289,18,17,44,514,52
"HPAP-122",6,1,394,1,3,7,1007,21,2,124,1464,165
"HPAP-123",32,13,76,12,2,3,4133,25,9,282,251,19
"HPAP-124",20,1,52,163,19,2,602,36,11,25,1199,79
"HPAP-126",48,11,182,282,14,7,972,10,9,233,1950,38
"SAMN08768781__rep1__no_treatment",25,23,119,386,12,29,1104,2,3,61,740,104
"SAMN08768781__rep2__no_treatment",22,25,83,392,27,40,1044,2,3,49,792,94
"SAMN08768783__rep1__no_treatment",31,16,37,158,66,4,1796,30,74,74,606,237
"SAMN08768783__rep2__no_treatment",23,19,30,146,27,0,1879,41,65,72,680,219
"SAMN08768783__rep3__no_treatment",80,15,60,269,57,4,3000,51,62,100,1298,287
